State,Area,2018-Total,2019-Total,2020-Total,2018-Mining and Logging,2019-Mining and Logging,2020-Mining and Logging,2018-Construction,2019-Construction,2020-Construction,2018-Manufacturing,2019-Manufacturing,2020-Manufacturing,"2018-Trade, transportation, and utilities","2019-Trade, transportation, and utilities","2020-Trade, transportation, and utilities",2018-Information,2019-Information,2020-Information,2018-Financial activities,2019-Financial activities,2020-Financial activities,2018-Professional and business services,2019-Professional and business services,2020-Professional and business services,2018-Education and health services,2019-Education and health services,2020-Education and health services,2018-Leisure and hospitality,2019-Leisure and hospitality,2020-Leisure and hospitality,2018-Other services,2019-Other services,2020-Other services,2018-Government,2019-Government,2020-Government
Arizona,Lake Havasu City-Kingman(1),51.1,52.1,51.2,–,–,–,3.2,3.5,3.7,3.2,3.2,3.0,12.5,12.7,12.7,0.5,0.5,0.5,1.7,1.8,1.9,3.7,3.8,3.9,8.9,9.0,8.9,7.8,7.5,6.8,1.9,1.9,1.8,7.8,8.3,8.0
Arizona,Phoenix-Mesa-Scottsdale,2108.6,2180.2,2119.5,3.5,3.5,3.0,123.0,133.1,135.1,128.6,133.7,133.0,402.9,410.4,412.7,39.0,40.6,37.6,192.0,200.6,204.4,358.5,371.9,357.5,324.3,339.1,337.8,228.1,233.3,192.5,69.1,70.3,65.4,239.4,243.9,240.5
Arizona,Prescott(1),65.2,65.9,63.6,–,–,–,5.8,6.3,6.4,3.8,3.8,3.6,12.7,12.7,12.6,0.5,0.5,0.5,2.0,2.1,2.2,4.2,4.4,4.6,12.7,12.5,12.0,10.3,10.5,8.8,2.3,2.4,2.3,10.8,11.0,10.7
Arizona,Sierra Vista-Douglas(1),33.5,33.9,34.4,–,–,–,1.7,1.9,3.0,0.6,0.6,0.6,5.8,5.9,6.2,0.4,0.4,0.3,0.9,0.8,0.8,4.2,4.4,4.5,4.7,4.6,4.4,3.6,3.6,3.1,0.7,0.7,0.7,11.0,10.9,10.8
Arizona,Tucson,382.3,391.1,373.1,1.9,1.9,1.9,16.9,18.0,18.0,26.6,27.9,27.3,61.6,63.3,64.0,5.6,5.8,5.1,17.7,17.3,17.5,50.5,50.5,47.7,66.3,68.4,67.4,44.7,45.1,35.8,13.4,13.9,12.8,77.2,79.0,75.7
Arizona,Yuma(1),56.0,57.6,55.7,–,–,–,2.6,3.1,3.5,2.7,2.6,2.7,11.0,11.8,11.3,0.5,0.5,0.3,2.0,2.1,2.0,7.0,6.7,6.7,8.0,8.3,7.8,6.0,6.3,5.6,1.8,1.7,1.7,14.4,14.6,14.1
Arkansas,Total,1266.0,1280.4,1242.0,5.9,5.9,5.5,50.9,52.6,53.2,160.7,162.3,155.1,251.7,251.9,247.8,12.7,12.6,11.8,61.0,63.2,63.7,145.3,144.4,138.5,191.6,193.2,187.1,118.4,120.8,106.4,55.7,61.8,64.9,212.1,211.7,208.2
Arkansas,Fayetteville-Springdale-Rogers(1),258.3,264.6,261.7,–,–,–,11.7,12.4,13.0,29.7,30.4,30.7,56.0,56.7,56.4,2.0,2.1,2.0,8.2,8.3,8.6,49.8,50.5,50.6,29.2,29.9,29.6,26.3,27.2,23.6,9.4,9.7,9.6,36.2,37.4,37.6
Arkansas,Fort Smith(1),113.7,113.5,109.0,–,–,–,5.3,5.8,5.4,17.7,17.4,16.8,23.2,23.2,23.0,1.2,1.2,1.1,4.0,4.0,3.7,13.0,12.4,11.5,17.0,17.4,16.7,9.4,9.5,8.5,4.7,4.6,4.4,18.3,18.3,17.9
Arkansas,Hot Springs(2),38.9,39.5,37.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.5,4.4,4.2
